Symbol,Expiration,Strike,Right,Price
TREX,20250221,30.0,C,
TREX,20250221,30.0,P,
TREX,20250221,35.0,C,
TREX,20250221,35.0,P,
TREX,20250221,40.0,C,
TREX,20250221,40.0,P,
TREX,20250221,45.0,C,
TREX,20250221,45.0,P,
TREX,20250221,47.5,C,
TREX,20250221,47.5,P,
TREX,20250221,50.0,C,
TREX,20250221,50.0,P,
TREX,20250221,55.0,C,
TREX,20250221,55.0,P,
TREX,20250221,57.5,C,
TREX,20250221,57.5,P,
TREX,20250221,60.0,C,
TREX,20250221,60.0,P,
TREX,20250221,62.5,C,
TREX,20250221,62.5,P,
TREX,20250221,65.0,C,
TREX,20250221,65.0,P,
TREX,20250221,67.5,C,
TREX,20250221,67.5,P,
TREX,20250221,70.0,C,
TREX,20250221,70.0,P,
TREX,20250221,72.5,C,
TREX,20250221,72.5,P,
TREX,20250221,75.0,C,
TREX,20250221,75.0,P,
TREX,20250221,77.5,C,
TREX,20250221,77.5,P,
TREX,20250221,80.0,C,
TREX,20250221,80.0,P,
TREX,20250221,82.5,C,
TREX,20250221,82.5,P,
TREX,20250221,85.0,C,
TREX,20250221,85.0,P,
TREX,20250221,90.0,C,
TREX,20250221,90.0,P,
TREX,20250221,95.0,C,
TREX,20250221,95.0,P,
TREX,20250221,100.0,C,
TREX,20250221,100.0,P,
TREX,20250221,105.0,C,
TREX,20250221,105.0,P,
TREX,20250221,110.0,C,
TREX,20250221,110.0,P,
TREX,20250221,115.0,C,
TREX,20250221,115.0,P,
TREX,20250321,30.0,C,
TREX,20250321,30.0,P,
TREX,20250321,35.0,C,
TREX,20250321,35.0,P,
TREX,20250321,40.0,C,
TREX,20250321,40.0,P,
TREX,20250321,45.0,C,
TREX,20250321,45.0,P,
TREX,20250321,47.5,C,
TREX,20250321,47.5,P,
TREX,20250321,50.0,C,
TREX,20250321,50.0,P,
TREX,20250321,55.0,C,
TREX,20250321,55.0,P,
TREX,20250321,57.5,C,
TREX,20250321,57.5,P,
TREX,20250321,60.0,C,
TREX,20250321,60.0,P,
TREX,20250321,62.5,C,
TREX,20250321,62.5,P,
TREX,20250321,65.0,C,
TREX,20250321,65.0,P,
TREX,20250321,67.5,C,
TREX,20250321,67.5,P,
TREX,20250321,70.0,C,
TREX,20250321,70.0,P,
TREX,20250321,72.5,C,
TREX,20250321,72.5,P,
TREX,20250321,75.0,C,
TREX,20250321,75.0,P,
TREX,20250321,77.5,C,
TREX,20250321,77.5,P,
TREX,20250321,80.0,C,
TREX,20250321,80.0,P,
TREX,20250321,82.5,C,
TREX,20250321,82.5,P,
TREX,20250321,85.0,C,
TREX,20250321,85.0,P,
TREX,20250321,90.0,C,
TREX,20250321,90.0,P,
TREX,20250321,95.0,C,
TREX,20250321,95.0,P,
TREX,20250321,100.0,C,
TREX,20250321,100.0,P,
TREX,20250321,105.0,C,
TREX,20250321,105.0,P,
TREX,20250321,110.0,C,
TREX,20250321,110.0,P,
TREX,20250321,115.0,C,
TREX,20250321,115.0,P,
TREX,20250417,30.0,C,
TREX,20250417,30.0,P,
TREX,20250417,35.0,C,
TREX,20250417,35.0,P,
TREX,20250417,40.0,C,
TREX,20250417,40.0,P,
TREX,20250417,45.0,C,
TREX,20250417,45.0,P,
TREX,20250417,47.5,C,
TREX,20250417,47.5,P,
TREX,20250417,50.0,C,
TREX,20250417,50.0,P,
TREX,20250417,55.0,C,
TREX,20250417,55.0,P,
TREX,20250417,57.5,C,
TREX,20250417,57.5,P,
